_id,Inspection ID,Facility ID,Facility Name,Facility Address,Facility Address 2,Facility Municipality Name,Facility City,Facility County,Facility State,Facility Postal Code,Facility Latitude,Facility Longitude,Venue Type,Inspection Date,Inspection End,Inspection Purpose,Inspection Passed,Inspection Number,Inspector Name,"Free Chlorine, Shallow","Free Chlorine, Deep","Combined Chlorine, Shallow","Combined Chlorine, Deep","Free Bromine, Shallow","Free Bromine, Deep","pH Value, Shallow","pH Value, Deep",Cyanuric Acid,Turnover,Enclosure,Main Drain Visible,Safety Equipment,Disinfectant Level,pH Balance,No Imminent Health Hazards,Abated Date
277201,196055,7695,STAYBRIDGE SUITES POOL,239 SUMMIT PARK DRIVE,,North Fayette Township,Pittsburgh,Allegheny County,PA,15275,40.448313,-80.1784215,POOLS (INDOOR),2021-10-18T12:25:00,2021-10-21T13:30:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,4.5,,0.5,,,,7.2,,,65,t,t,f,t,t,t,2022-10-24
277202,196136,1964,ATRIUM CONDO,307 S DITHRIDGE STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.445424,-79.950051,POOL (CONDO INDOOR),2021-10-21T10:00:00,2021-10-26T10:45:00,INITIAL INSPECTION,f,1,ANDERSON IAN,2.6,,0,,,,7.8,,,115,t,t,t,t,t,t,2021-10-29
277203,196223,2379,HOLIDAY INN EXPRESS / PARKWAY CENTER INN - POOL,875 GREENTREE ROAD,,Green Tree,PITTSBURGH,Allegheny County,PA,15220,40.424517,-80.041743,POOLS (INDOOR),2021-10-28T15:25:00,2021-10-29T16:05:00,INITIAL INSPECTION,f,1,WILSON ANGELA,,,,,5.2,,7.6,,,70,t,t,t,t,t,t,2021-10-29
277204,196340,4401,HOLIDAY INN EXPRESS & SUITES / NORTH SHORE POOL,228 FEDERAL  STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.448781,-80.004204,POOLS (INDOOR),2021-11-03T13:45:00,2021-11-04T14:35:00,INITIAL INSPECTION,f,1,NOBBS SCOTT,,,,,7.65,,7.4,,,65,t,t,t,t,t,t,2021-11-08
277205,196560,2493,CMU / AQUATIC CENTER LAP POOL,5000 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.444209,-79.9433955,POOLS (SCHOOLS),2021-11-10T02:15:00,2021-11-12T02:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,3.5,,0,,,,7.4,,,600,t,t,t,t,t,t,2021-11-15
277206,196608,69,DUQUESNE UNIVERSITY / INDOOR POOL,1345 VICROY STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15282,,,POOLS (SCHOOLS),2021-11-12T01:15:00,2021-11-15T01:45:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,2.4,,0,,,,7.5,,,325,t,t,f,t,t,t,2022-01-19
277207,196656,6243,STAYBRIDGE SUITES CRANBERRY POOL,915 BRUSH CREEK ROAD,,Marshall Township,WARRENDALE,Allegheny County,PA,15086,40.661658,-80.0979525,POOLS (INDOOR),2021-11-17T14:50:00,2021-11-18T15:20:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,,,,,2.25,,7.6,,,65,t,t,t,t,t,t,2021-12-21
277208,196701,4943,EMBASSY SUITES BY HILTON / POOL ,535 SMITHFIELD  STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.441392,-79.99803,POOLS (INDOOR),2021-11-17T10:30:00,2021-11-19T11:00:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,3,,0,,,,7.2,,,35,t,t,f,t,t,t,2022-01-20
277209,196708,1409,WYNDHAM GRAND PITTSBURGH - POOL,600 COMMONWEALTH PLACE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.441734,-80.0064045,POOLS (INDOOR),2021-11-17T01:00:00,2021-11-19T01:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,6,,7.8,,,90,t,t,t,t,t,t,2021-11-19
277210,196709,1410,WYNDHAM GRAND PITTSBURGH - SPA,600 COMMONWEALTH PLACE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.441734,-80.0064045,SPA/HOT TUB (INDOOR),2021-11-17T01:30:00,2021-11-19T02:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,6,,7.2,,,35,t,t,t,t,t,t,2021-11-19
277211,196744,6464,DRURY INN AIRPORT SPA,101 RIDGE ROAD,,Robinson Township,PITTSBURGH,Allegheny County,PA,15205,40.437522,-80.153838,SPA/HOT TUB (INDOOR),2021-11-17T11:10:00,2021-11-22T11:45:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,,,,,10,,7.6,,,50,t,t,f,t,t,t,
277212,196745,6463,DRURY INN AIRPORT POOL,101 RIDGE ROAD,,Robinson Township,PITTSBURGH,Allegheny County,PA,15205,40.437522,-80.153838,POOLS (INDOOR),2021-11-17T11:45:00,2021-11-22T12:20:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,,,,,10,,7.4,,,55,t,t,f,t,t,t,
277213,196849,2512,HOSANNA HOUSE POOL,807 WALLACE AVENUE,,Wilkinsburg,PITTSBURGH,Allegheny County,PA,15221,40.443705,-79.8805665,POOLS (INDOOR),2021-11-29T08:45:00,2021-11-29T09:15:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,2021-11-30
277214,196911,5763,HOLIDAY INN EXPRESS MONROEVILLE POOL,3936 MONROEVILLE BOULEVARD,,Monroeville,MONROEVILLE,Allegheny County,,15146,40.437072,-79.7773005,POOLS (INDOOR),2021-11-30T08:45:00,2021-12-01T09:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2,,0,,,,7.6,,,65,t,t,t,t,t,t,2021-12-01
277215,197022,7261,SPRINGHILL SUITES MONROEVILLE POOL,122 DAUGHERTY DRIVE,,Monroeville,Monroeville,Allegheny County,PA,15146,40.435839,-79.754346,POOLS (INDOOR),2021-12-06T08:45:00,2021-12-06T09:30:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,4,,0.2,,,,7.4,,,45,t,t,f,t,t,t,2022-04-19
